segment_id,filename,image_panoid,date,query_counter,lat,lon,geometry,years_since_today,name,length,bearing
4599846705-4599846707,img_4599846705-4599846707_h1_009.png,ku3KisHhxcdcwbQVq3qtyg,2023-05-01,19.0,40.44221046984462,-79.99512731519557,POINT (409550.59683537914 125545.21136727795),0.89,Grant Street,173.75199999999998,207.1
104572642-106056474,img_104572642-106056474_h1_021.png,ku3KisHhxcdcwbQVq3qtyg,2023-05-01,55.0,40.44221046984462,-79.99512731519557,POINT (409550.59683537914 125545.21136727795),0.89,Grant Street,173.656,27.2
4599846705-4599846707,img_4599846705-4599846707_h0_006.png,7Fd7grC4NZvctIZmB3xR-w,2023-05-01,14.0,40.44229345773721,-79.99534848418226,POINT (409532.07384670747 125554.90024183251),0.89,Grant Street,173.75199999999998,207.1
4599846705-4599846707,img_4599846705-4599846707_h1_007.png,7Fd7grC4NZvctIZmB3xR-w,2023-05-01,15.0,40.44229345773721,-79.99534848418226,POINT (409532.07384670747 125554.90024183251),0.89,Grant Street,173.75199999999998,207.1
104633450-105012363,img_104633450-105012363_h1_007.png,jOaNsDtfvEK5WPj4hjtsTQ,2022-07-01,33.0,40.44274828266717,-79.99560002909023,POINT (409512.0245166242 125605.92961938043),1.72,William Penn Place,145.213,199.3
104633450-105012363,img_104633450-105012363_h0_006.png,jOaNsDtfvEK5WPj4hjtsTQ,2022-07-01,32.0,40.44274828266717,-79.99560002909023,POINT (409512.0245166242 125605.92961938043),1.72,William Penn Place,145.213,199.3
104633450-684842626,img_104633450-684842626_h1_003.png,tLuSYbZImMs3_ghTQ_E_Vw,2023-04-01,17.0,40.44365816778198,-79.99528320867176,POINT (409541.4621520301 125706.2460604422),0.97,Liberty Avenue,74.504,70.6
104633450-684842626,img_104633450-684842626_h0_002.png,tLuSYbZImMs3_ghTQ_E_Vw,2023-04-01,16.0,40.44365816778198,-79.99528320867176,POINT (409541.4621520301 125706.2460604422),0.97,Liberty Avenue,74.504,70.6
104633450-105012363,img_104633450-105012363_h0_000.png,EIWxpBuJIOOq-vOIulILOA,2023-04-01,0.0,40.4439303955621,-79.9953850043158,POINT (409533.5975721431 125736.6836474597),0.97,William Penn Place,145.213,199.3
104633434-104633450,img_104633434-104633450_h0_016.png,EIWxpBuJIOOq-vOIulILOA,2023-04-01,32.0,40.4439303955621,-79.9953850043158,POINT (409533.5975721431 125736.6836474597),0.97,10th Street,97.07400000000001,160.8
104633450-105963747,img_104633450-105963747_h1_015.png,Sy3LQulsp7gpmqmpeAhipw,2023-04-01,53.0,40.44286149771777,-79.99679050584331,POINT (409411.38128338096 125621.0653433383),0.97,Liberty Avenue,121.27199999999999,250.6
104633450-105963747,img_104633450-105963747_h1_013.png,6x0Y-0cMqyST6_MoFuelBg,2023-04-01,49.0,40.4429564009,-79.99672872978414,POINT (409416.8885002297 125631.46653551757),0.97,Liberty Avenue,121.27199999999999,250.6
104633450-105963747,img_104633450-105963747_h0_012.png,6x0Y-0cMqyST6_MoFuelBg,2023-04-01,48.0,40.4429564009,-79.99672872978414,POINT (409416.8885002297 125631.46653551757),0.97,Liberty Avenue,121.27199999999999,250.6
104633450-105963747,img_104633450-105963747_h1_011.png,f64p5bG0duy6Os2paI1QCQ,2023-04-01,37.0,40.44304230345523,-79.99667053737889,POINT (409422.066355283 125640.8763713294),0.97,Liberty Avenue,121.27199999999999,250.6
104633450-105963747,img_104633450-105963747_h0_010.png,f64p5bG0duy6Os2paI1QCQ,2023-04-01,36.0,40.44304230345523,-79.99667053737889,POINT (409422.066355283 125640.8763713294),0.97,Liberty Avenue,121.27199999999999,250.6
104633450-105963747,img_104633450-105963747_h0_008.png,tzxCJtAcZfnMHACK_6s3nw,2023-04-01,28.0,40.4432350958465,-79.9965689138916,POINT (409431.22942213214 125662.05755338474),0.97,Liberty Avenue,121.27199999999999,250.6
